"","DATEym","Freq.101 - 200 Employees","Freq.15 - 100 Employees","Freq.201 - 500 Employees","Freq.501+ Employees","Freq.Under 15 Employees","Freq.Unknown Number Of Employees","Freq.Elected Official/Fed. Govt","Freq.Elected Official/State-Local","Freq.Federal Government Agency","Freq.Joint Apprenticeship","Freq.Other Firm Type","Freq.Private College/University","Freq.Private College/University (Inactive Code)","Freq.Private Elem/Secondary School","Freq.Private Employer","Freq.Private Employment Agency","Freq.Public College/University","Freq.Public Elem/Secondary School","Freq.Public Employment Agency","Freq.State/Local Govt","Freq.Union","Freq.CP Sex Not Available/Applicable","Freq.Female","Freq.Male","Count.Report","prop.fem","prop.priv","DATE.x","FRBKCLMCIM","LREM25TTUSM156S"
"1","1995-10",44,207,36,104,0,11,0,0,0,0,2,1,0,0,355,2,3,7,0,33,1,0,365,39,404,0.903465346534653,0.878712871287129,1995-10-01,-0.21821,79.8143185735671
"2","1995-11",38,161,26,83,0,13,0,0,0,0,2,0,0,0,295,0,0,1,0,22,3,0,303,20,323,0.938080495356037,0.913312693498452,1995-11-01,-0.28461,79.6826397128103
"3","1995-12",25,115,24,65,0,13,0,1,0,0,2,0,0,0,217,0,2,4,0,16,0,0,217,25,242,0.896694214876033,0.896694214876033,1995-12-01,-0.36126,79.713544735187
"4","1996-01",45,214,24,81,0,11,0,2,0,0,3,3,0,0,340,0,3,3,0,21,0,0,338,37,375,0.901333333333333,0.906666666666667,1996-01-01,-1.26449,79.745363595422
"5","1996-02",41,173,26,112,3,16,0,0,0,0,0,0,0,0,329,0,2,5,0,34,2,0,333,39,372,0.895161290322581,0.884408602150538,1996-02-01,-0.41338,79.9482190304859
"6","1996-03",46,203,30,111,1,8,0,0,0,0,5,2,0,0,355,0,3,8,0,26,1,0,354,46,400,0.885,0.8875,1996-03-01,-0.25437,80.0089633471804
"7","1996-04",40,192,32,104,0,10,0,0,0,0,1,0,0,1,333,0,8,5,2,27,1,0,339,39,378,0.896825396825397,0.880952380952381,1996-04-01,0.26205,79.9446802423778
"8","1996-05",44,219,33,110,1,11,0,1,0,0,3,1,0,1,377,1,2,3,0,31,0,0,380,40,420,0.904761904761905,0.897619047619048,1996-05-01,-0.03775,79.9931481625609
"9","1996-06",28,178,29,101,2,13,0,1,0,0,1,2,0,0,312,3,5,2,0,23,2,0,319,32,351,0.908831908831909,0.888888888888889,1996-06-01,0.03232,80.1704382698348
"10","1996-07",52,206,38,102,1,16,0,1,0,0,2,1,1,0,369,0,1,1,0,38,2,0,374,42,416,0.899038461538462,0.887019230769231,1996-07-01,0.16715,80.3692377817335
"11","1996-08",44,199,36,99,0,11,0,1,2,0,1,1,0,0,350,0,4,1,0,29,1,0,345,45,390,0.884615384615385,0.897435897435897,1996-08-01,0.27964,80.5148077295341
"12","1996-09",29,120,19,68,0,16,0,0,1,0,1,3,0,0,219,0,2,1,0,26,1,0,233,21,254,0.917322834645669,0.862204724409449,1996-09-01,0.0592,80.4302475173903
"13","1996-10",50,132,33,81,1,8,0,1,0,0,1,0,1,1,275,0,0,0,1,27,1,0,282,26,308,0.915584415584416,0.892857142857143,1996-10-01,-0.03781,80.5760321814198
"14","1996-11",30,117,24,46,0,11,0,2,0,0,4,0,0,1,210,0,0,3,0,8,1,0,198,31,229,0.864628820960699,0.91703056768559,1996-11-01,0.01369,80.4409601480056
"15","1996-12",35,142,22,74,0,8,0,3,0,0,1,1,0,0,248,2,3,3,0,22,1,0,259,25,284,0.911971830985915,0.873239436619718,1996-12-01,0.10299,80.4451522455283
"16","1997-01",24,142,36,72,0,17,0,1,0,0,0,1,0,0,268,0,2,1,0,19,1,0,270,23,293,0.921501706484642,0.914675767918089,1997-01-01,0.05786,80.5077501595881
"17","1997-02",35,126,38,75,2,6,0,0,0,0,3,0,0,0,258,1,1,2,0,17,1,0,254,29,283,0.897526501766785,0.911660777385159,1997-02-01,0.15958,80.4331461557282
"18","1997-03",46,131,36,81,1,8,0,1,0,0,1,1,0,0,270,2,3,4,0,22,0,0,274,30,304,0.901315789473684,0.888157894736842,1997-03-01,0.25786,80.6744185021619
"19","1997-04",35,151,34,86,2,8,0,0,0,0,2,1,0,0,271,1,1,4,0,38,0,0,290,28,318,0.911949685534591,0.852201257861635,1997-04-01,0.58278,80.7402822503214
"20","1997-05",38,113,30,90,3,10,0,0,0,0,2,1,0,0,241,0,3,5,0,30,3,0,255,30,285,0.894736842105263,0.845614035087719,1997-05-01,0.59271,80.6479308148789
"21","1997-06",28,122,42,73,0,6,0,1,0,0,2,1,0,0,222,0,3,4,0,40,0,0,248,25,273,0.908424908424908,0.813186813186813,1997-06-01,0.34468,80.8843262178044
"22","1997-07",31,150,29,102,1,10,0,0,0,0,1,1,0,0,277,2,5,6,1,30,0,0,284,39,323,0.879256965944272,0.857585139318885,1997-07-01,0.38645,81.0377468406144
"23","1997-08",41,149,30,69,3,10,1,0,0,0,2,2,1,0,266,2,5,3,0,23,1,0,263,43,306,0.859477124183007,0.869281045751634,1997-08-01,0.11899,81.1155860140565
"24","1997-09",27,138,24,79,1,10,0,0,0,0,1,1,0,0,250,1,2,4,0,19,1,0,253,26,279,0.906810035842294,0.896057347670251,1997-09-01,0.54148,80.9997718527384
"25","1997-10",42,186,33,100,1,10,0,1,1,0,3,2,0,0,329,3,3,2,0,28,1,0,320,53,373,0.857908847184987,0.882037533512064,1997-10-01,0.23612,81.0361303585291
"26","1997-11",34,150,27,86,1,17,0,0,0,0,1,1,1,0,282,4,1,4,0,20,2,0,290,26,316,0.917721518987342,0.892405063291139,1997-11-01,0.40923,81.029598668138
"27","1997-12",40,129,25,74,1,8,0,0,0,1,0,1,0,0,242,0,1,8,0,23,2,1,249,28,278,0.89568345323741,0.870503597122302,1997-12-01,0.27031,81.0212118436801
"28","1998-01",37,131,25,74,1,7,0,0,0,0,2,1,0,0,247,2,4,1,0,19,0,0,240,36,276,0.869565217391304,0.894927536231884,1998-01-01,0.31822,80.9274001820403
"29","1998-02",28,136,38,67,1,9,0,0,0,0,3,0,0,0,244,1,4,4,0,24,0,0,250,30,280,0.892857142857143,0.871428571428571,1998-02-01,0.36913,80.9711144494712
"30","1998-03",35,156,28,75,1,15,0,0,0,0,4,0,0,0,272,1,2,2,1,27,1,0,260,50,310,0.838709677419355,0.87741935483871,1998-03-01,0.22439,81.068127021979
