"","X1","DATEym","Freq.101 - 200 Employees","Freq.15 - 100 Employees","Freq.201 - 500 Employees","Freq.501+ Employees","Freq.NULL.x","Freq.Under 15 Employees","Freq.Unknown Number Of Employees","Freq.Elected Official/Fed. Govt","Freq.Elected Official/State-Local","Freq.Federal Government Agency","Freq.Joint Apprenticeship","Freq.NULL.y","Freq.Other","Freq.Private College/University","Freq.Private College/University (Inactive Code)","Freq.Private Elem/Secondary School","Freq.Private Employer","Freq.Private Employment Agency","Freq.Public College/University","Freq.Public Elem/Secondary School","Freq.Public Employment Agency","Freq.State/Local Govt","Freq.Union","Freq.CP Sex Not Available/Applicable","Freq.Female","Freq.Male","Freq.NULL","count","prop.fem","prop.priv","DATE.x","FRBKCLMCIM","DATE.y","LREM25TTUSM156S","DATEymx","row","seas_count"
"1",1,"1995-10",44,207,36,104,2,0,11,0,0,0,0,0,2,1,0,0,355,2,3,7,0,33,1,0,365,39,0,404,0.903465346534653,0.878712871287129,1995-10-01,-0.21821,1995-10-01,79.8143185735671,"1995-10",1,380.187152777778
"2",2,"1995-11",38,161,26,83,2,0,13,0,0,0,0,0,2,0,0,0,295,0,0,1,0,22,3,0,303,20,0,323,0.938080495356037,0.913312693498452,1995-11-01,-0.28461,1995-11-01,79.6826397128103,"1995-11",2,330.549652777778
"3",3,"1995-12",25,115,24,65,0,0,13,0,1,0,0,0,2,0,0,0,217,0,2,4,0,16,0,0,217,25,0,242,0.896694214876033,0.896694214876033,1995-12-01,-0.36126,1995-12-01,79.713544735187,"1995-12",3,269.157986111111
"4",4,"1996-01",45,214,24,81,0,0,11,0,2,0,0,0,3,3,0,0,340,0,3,3,0,21,0,0,338,37,0,375,0.901333333333333,0.906666666666667,1996-01-01,-1.26449,1996-01-01,79.745363595422,"1996-01",4,385.722569444444
"5",5,"1996-02",41,173,26,112,1,3,16,0,0,0,0,0,0,0,0,0,329,0,2,5,0,34,2,0,333,39,0,372,0.895161290322581,0.884408602150538,1996-02-01,-0.41338,1996-02-01,79.9482190304859,"1996-02",5,387.166319444444
"6",6,"1996-03",46,203,30,111,1,1,8,0,0,0,0,0,5,2,0,0,355,0,3,8,0,26,1,0,354,46,0,400,0.885,0.8875,1996-03-01,-0.25437,1996-03-01,80.0089633471804,"1996-03",6,377.099652777778
"7",7,"1996-04",40,192,32,104,0,0,10,0,0,0,0,0,1,0,0,1,333,0,8,5,2,27,1,0,339,39,0,378,0.896825396825397,0.880952380952381,1996-04-01,0.26205,1996-04-01,79.9446802423778,"1996-04",7,371.949652777778
"8",8,"1996-05",44,219,33,110,2,1,11,0,1,0,0,0,3,1,0,1,377,1,2,3,0,31,0,0,380,40,0,420,0.904761904761905,0.897619047619048,1996-05-01,-0.03775,1996-05-01,79.9931481625609,"1996-05",8,424.201736111111
"9",9,"1996-06",28,178,29,101,0,2,13,0,1,0,0,0,1,2,0,0,312,3,5,2,0,23,2,0,319,32,0,351,0.908831908831909,0.888888888888889,1996-06-01,0.03232,1996-06-01,80.1704382698348,"1996-06",9,347.426736111111
"10",10,"1996-07",52,206,38,102,1,1,16,0,1,0,0,0,2,1,1,0,369,0,1,1,0,38,2,0,374,42,0,416,0.899038461538462,0.887019230769231,1996-07-01,0.16715,1996-07-01,80.3692377817335,"1996-07",10,406.187152777778
